City_ID,City,Country,Max_Temp,Current Description,Lat,Lng,Hotel Name
242,Abong Mbang,CM,76.42,light rain,3.9833,13.1833,Auberge Angle Sur
246,Xai-Xai,MZ,79.02,clear sky,-25.0519,33.6442,Complexo da Familia
256,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
257,Ca Mau,VN,78.44,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
259,Morehead,US,84.78,clear sky,37.2711,-87.1764,CCI Express Inn
261,Kudat,MY,80.53,few clouds,6.8837,116.8477,Dream Garden Hotel
263,Lorengau,PG,81.97,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
264,Praia Da Vitoria,PT,75.45,scattered clouds,38.7333,-27.0667,Hotel Branco I
267,Kothapet,IN,80.2,overcast clouds,19.3333,79.4833,Andhavelly Village
270,Tomatlan,MX,79.59,overcast clouds,19.9333,-105.25,El Salvial
271,Grand-Lahou,CI,77.49,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
272,Meulaboh,ID,78.13,moderate rain,4.1363,96.1285,Kost Pria
278,Teknaf,BD,81.95,overcast clouds,20.8624,92.3058,Forestry Guesthouse
279,Bontang,ID,80.74,clear sky,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
282,Kabanga,TZ,79.81,scattered clouds,-2.6386,30.4678,ALPHA HOTEL
283,Shimoda,JP,76.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
289,Thai Binh,VN,83.32,overcast clouds,20.45,106.3333,Sweden Hotel
292,Banda Aceh,ID,80.73,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
293,Noumea,NC,75.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
299,Takoradi,GH,77.56,overcast clouds,4.8845,-1.7554,Raybow International Hotel
300,Dhidhdhoo,MV,80.53,light rain,6.8833,73.1,Dhidhoo beach
302,Marsa Matruh,EG,82.6,clear sky,31.3525,27.2453,Beau Site
305,Miracema,BR,80.42,clear sky,-21.4122,-42.1967,Novo Hotel Varandas
306,Auki,SB,76.53,clear sky,-8.7676,160.7034,Auki Motel
307,Larap,PH,80.98,broken clouds,14.299,122.6504,Montemayor Cove
309,Srivardhan,IN,80.2,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
312,Inhambane,MZ,77.0,few clouds,-23.865,35.3833,Oceano
314,Kanchanaburi,TH,76.8,light rain,14.6333,99.1,แพบุญศรี
317,Tecoanapa,MX,80.08,broken clouds,16.5167,-98.75,Hotel Manglares
318,Saint-Pierre,RE,73.9,clear sky,-21.3393,55.4781,Alize Plage
319,Carauari,BR,84.9,few clouds,-4.8828,-66.8958,Hotel Fellip
323,Upata,VE,79.2,broken clouds,8.0086,-62.3989,Posada Villa Nela
325,Sakaiminato,JP,75.18,broken clouds,35.55,133.2333,Italian pasley
331,Nuevo Progreso,MX,84.54,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
337,Kanniyakumari,IN,80.29,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
